以下为“二次元手办交易平台”的候选竞品池，偏向真实可交易平台/公司级产品，覆盖中国本土、跨境日系、二手交易、综合电商与垂直模玩平台。已剔除搜索引擎、文章/榜单本身、源码项目、泛概念词等。

| # | 候选竞品 | 候选类型 | 简短描述 | 参考来源 | 入池理由 |
|---|---|---|---|---|---|
| 1 | 闲鱼 | 直接竞品 / C2C二手交易平台 | 阿里系二手交易平台，覆盖手办、谷子、动漫周边等大量二次元闲置交易。 | BBC 来源提到“闲鱼是一个类似 eBay 的二手交易平台”；知乎来源提到闲鱼二次元用户、订单规模增长 | 目标若做“手办交易平台”，闲鱼是国内二手手办交易最核心替代品之一，用户规模和二次元交易活跃度高。 |
| 2 | 哔哩哔哩会员购 | 直接竞品 / 二次元官方周边电商 | B站旗下二次元商品购买平台，售卖手办、模型、谷子、演出票务等。 | Extrabux《2025国内买手办及动漫周边的网站/App推荐》提到“B站开发了购物平台会员购” | B站二次元用户基础强，会员购在正版手办预售、现货和IP周边上具备强竞争力。 |
| 3 | 淘宝 | 间接竞品 / 综合电商平台 | 国内大型电商平台，聚集大量手办店铺、代购店、现货/预售商家。 | 淘宝运营文章来源提到“淘宝上手办类目竞争激烈” | 手办消费者常用购买渠道，商家数量多、价格竞争强，是新平台的重要替代选择。 |
| 4 | 天猫 | 间接竞品 / 品牌型综合电商 | 阿里旗下品牌电商平台，存在官方旗舰店、模型玩具品牌店、代理店。 | Extrabux 国内购买推荐来源；淘宝/天猫生态常识补充 | 对正版、新品预售、品牌授权手办交易有替代性，信任和售后体系较成熟。 |
| 5 | 京东 | 间接竞品 / 综合电商平台 | 京东平台售卖手办、模型、玩具、动漫周边，部分自营或第三方商家经营。 | Extrabux 国内买手办及动漫周边网站/App推荐 | 物流和售后优势明显，适合作为新手办交易平台的综合电商替代竞品。 |
| 6 | 拼多多 | 间接竞品 / 综合低价电商 | 国内低价电商平台，存在大量模型、手办、盲盒、周边商品交易。 | Extrabux 国内购买推荐来源；行业常识补充 | 在价格敏感型用户、低价现货和非高端收藏品类上可能形成竞争。 |
| 7 | 模次元 | 直接竞品 / 模型玩具交易平台 | 垂直模型玩具平台，强调“正品认证”，汇集品牌方和代理商。 | source_evidence：模次元官网，摘要称“正品认证，汇集国内各大品牌方和代理商” | 与目标“二次元手办交易平台”高度接近，尤其在正品保障、品牌方/代理商交易上具备参考价值。 |
| 8 | 得物 | 间接竞品 / 鉴别型潮流交易平台 | 以潮流商品交易和鉴别服务著称，覆盖潮玩、手办、盲盒等品类。 | 行业常识补充 | 若目标平台强调正品鉴别、担保交易，得物的鉴别+交易模式是重要参考对象。 |
| 9 | 转转 | 间接竞品 / 二手交易平台 | 国内二手交易平台，覆盖数码、潮玩、玩具模型等闲置品类。 | 行业常识补充 | 虽不专注二次元，但在二手交易、担保验货、平台撮合方面与目标存在替代关系。 |
| 10 | 多抓鱼 | 间接竞品 / 二手文化消费平台 | 以二手书起家，扩展到文创、潮玩、生活方式商品，强调回收与再售。 | 行业常识补充 | 若平台考虑“官方回收/寄卖/二手再流通”，多抓鱼的二手非标品运营模式有借鉴意义。 |
| 11 | 95分 | 间接竞品 / 二手潮流交易平台 | 得物旗下或关联的二手潮流商品交易平台，覆盖潮流鞋服、配饰及部分潮玩。 | 行业常识补充 | 在二手鉴别、寄卖、质检、履约服务上与高价值手办二级市场存在模式相似性。 |
| 12 | eBay | 直接/间接竞品 / 全球C2C交易平台 | 全球在线交易平台，有大量新旧手办、动漫周边、收藏品交易。 | Extrabux《17个国内外二手动漫周边、手办购买网站/App推荐》摘要明确提到 eBay | 对跨境二手手办、绝版品、海外收藏交易有强替代性，是国际二级市场代表。 |
| 13 | Mercari | 直接竞品 / 日本C2C二手交易平台 | 日本主流二手交易App，常见动漫周边、手办、谷子、同人商品交易。 | Extrabux 二手动漫周边/手办购买网站推荐；行业常识补充 | 日本本土二手二次元商品供给丰富，是跨境手办交易的重要来源和对标对象。 |
| 14 | Yahoo! Japan Auctions / ヤフオク | 直接竞品 / 日本拍卖交易平台 | 日本老牌线上拍卖平台，常有绝版手办、限量模型、动漫周边拍卖。 | Extrabux 二手动漫周边/手办购买网站推荐；行业常识补充 | 拍卖机制适合稀缺手办和收藏品交易，可作为二级市场竞品与机制参考。 |
| 15 | Mandarake | 直接竞品 / 日本二手动漫收藏品商店 | 日本知名二手动漫、漫画、手办、周边连锁及线上商城。 | Extrabux 二手动漫周边/手办购买网站推荐；行业常识补充 | 专注二次元中古商品，品类和目标用户高度重合，是垂直二手手办交易强竞品。 |
| 16 | Suruga-ya / 骏河屋 | 直接竞品 / 日本中古ACG商品电商 | 日本大型中古商品平台，售卖手办、模型、游戏、漫画、CD、周边等。 | Extrabux 二手动漫周边/手办购买网站推荐；行业常识补充 | 中古二次元商品库存丰富，交易模式和品类与手办平台高度相关。 |
| 17 | AmiAmi | 直接竞品 / 日本手办模型电商 | 日本知名手办、模型、动漫周边电商，覆盖新品预售、现货和部分二手。 | Extrabux 国内/国外购买手办推荐；行业常识补充 | 全球手办玩家常用平台，尤其在正版新品预售、日系IP手办方面竞争力强。 |
| 18 | HobbyLink Japan / HLJ | 直接竞品 / 日本模型手办跨境电商 | 面向全球销售模型、手办、拼装模型、角色周边的日本电商平台。 | Extrabux 购买手办网站推荐；行业常识补充 | 对跨境购买正版手办、模型的用户有直接替代性。 |
| 19 | HobbySearch / 1999.co.jp | 直接竞品 / 日本手办模型电商 | 日本模型和手办电商，销售比例模型、拼装模型、周边等。 | Extrabux 购买手办网站推荐；行业常识补充 | 长期服务手办模型收藏用户，是日系正版手办电商竞品。 |
| 20 | Solaris Japan | 直接竞品 / 日本手办跨境电商 | 面向海外玩家销售新品和二手动漫手办、游戏周边。 | Extrabux 二手/国外手办购买推荐；行业常识补充 | 同时覆盖新品与二手手办，和交易平台概念接近，适合参考定价、库存和品相体系。 |
| 21 | Good Smile Online Shop | 间接竞品 / 官方品牌商城 | Good Smile Company 官方线上商店，销售黏土人、比例手办等官方商品。 | Extrabux 国内外购买推荐；行业常识补充 | 虽偏品牌直营，但对正版新品购买有替代性，也是上游品牌官方渠道代表。 |
| 22 | Tokyo Otaku Mode | 直接/间接竞品 / 海外二次元电商 | 面向全球销售手办、动漫周边、日系文化商品的平台。 | Extrabux 购买手办网站推荐；行业常识补充 | 目标用户与二次元手办消费者重合，跨境电商运营和会员体系值得对标。 |
| 23 | Crunchyroll Store | 间接竞品 / 海外动漫周边电商 | Crunchyroll 旗下商店，销售动漫IP周边、手办、服饰等。 | 行业常识补充 | 依托动漫内容平台与IP资源销售周边，类似B站会员购的海外形态。 |
| 24 | BigBadToyStore / BBTS | 间接竞品 / 海外玩具收藏品电商 | 美国玩具和收藏品电商，销售手办、可动模型、雕像、潮玩等。 | 行业常识补充 | 在海外收藏玩具和手办市场有影响力，适合作为跨境供应和预售模式参考。 |
| 25 | MyFigureCollection / MFC | 间接竞品 / 手办收藏社区+交易市场 | 全球手办资料库和收藏社区，用户可管理收藏、愿望单，并进行买卖交流。 | Extrabux 二手手办购买推荐；行业常识补充 | 虽核心是社区和数据库，但其用户间交易、收藏管理与目标平台的社区化方向高度相关。 |
| 26 | Figure.fm | 间接竞品 / 手办社区平台 | 面向手办收藏者的社区，用户分享收藏、摄影和相关内容。 | 行业常识补充 | 如果目标平台考虑社区+交易，手办社区平台可作为用户关系和内容运营参考。 |
| 27 | GSC 良笑社官方渠道 / Good Smile Company | 间接竞品 / 手办品牌厂商及官方销售 | 日本知名手办厂商，拥有黏土人、POP UP PARADE 等产品线，并通过官方店销售。 | Extrabux 手办购买推荐；行业常识补充 | 官方渠道会分流新品正版手办用户，同时也是潜在合作方/供货方。 |
| 28 | 机核铺 / GCORES Shop | 间接竞品 / ACG与游戏文化周边电商 | 机核旗下周边商品销售渠道，覆盖游戏、ACG、文创类商品。 | 行业常识补充 | 虽非纯手办交易平台，但面向泛二次元/游戏文化消费人群，有周边交易竞争关系。 |
| 29 | Animate Online Shop | 间接竞品 / 日本动漫周边零售电商 | Animate 日本动漫商品零售商线上店，销售周边、角色商品、部分模型手办。 | 行业常识补充 | 在正版动漫周边零售领域具备代表性，可分流二次元用户购买预算。 |
